,date,ticker,field,value
458,2017-04-24,SPX Index,PX_LAST,2374.15
459,2017-04-25,SPX Index,PX_LAST,2388.61
460,2017-04-26,SPX Index,PX_LAST,2387.45
461,2017-04-27,SPX Index,PX_LAST,2388.77
462,2017-04-28,SPX Index,PX_LAST,2384.2
463,2017-05-01,SPX Index,PX_LAST,2388.33
464,2017-05-02,SPX Index,PX_LAST,2391.17
465,2017-05-03,SPX Index,PX_LAST,2388.13
466,2017-05-04,SPX Index,PX_LAST,2389.52
467,2017-05-05,SPX Index,PX_LAST,2399.29
468,2017-05-08,SPX Index,PX_LAST,2399.38
469,2017-05-09,SPX Index,PX_LAST,2396.92
470,2017-05-10,SPX Index,PX_LAST,2399.63
471,2017-05-11,SPX Index,PX_LAST,2394.44
472,2017-05-12,SPX Index,PX_LAST,2390.9
473,2017-05-15,SPX Index,PX_LAST,2402.32
474,2017-05-16,SPX Index,PX_LAST,2400.67
475,2017-05-17,SPX Index,PX_LAST,2357.03
476,2017-05-18,SPX Index,PX_LAST,2365.72
477,2017-05-19,SPX Index,PX_LAST,2381.73
478,2017-05-22,SPX Index,PX_LAST,2394.02
479,2017-05-23,SPX Index,PX_LAST,2398.42
480,2017-05-24,SPX Index,PX_LAST,2404.39
481,2017-05-25,SPX Index,PX_LAST,2415.07
482,2017-05-26,SPX Index,PX_LAST,2415.82
483,2017-05-30,SPX Index,PX_LAST,2412.91
484,2017-05-31,SPX Index,PX_LAST,2411.8
485,2017-06-01,SPX Index,PX_LAST,2430.06
486,2017-06-02,SPX Index,PX_LAST,2439.07
487,2017-06-05,SPX Index,PX_LAST,2436.1
488,2017-06-06,SPX Index,PX_LAST,2429.33
489,2017-06-07,SPX Index,PX_LAST,2433.14
490,2017-06-08,SPX Index,PX_LAST,2433.79
491,2017-06-09,SPX Index,PX_LAST,2431.77
492,2017-06-12,SPX Index,PX_LAST,2429.39
493,2017-06-13,SPX Index,PX_LAST,2440.35
494,2017-06-14,SPX Index,PX_LAST,2437.92
495,2017-06-15,SPX Index,PX_LAST,2432.46
496,2017-06-16,SPX Index,PX_LAST,2433.15
497,2017-06-19,SPX Index,PX_LAST,2453.46
498,2017-06-20,SPX Index,PX_LAST,2437.03
499,2017-06-21,SPX Index,PX_LAST,2435.61
500,2017-06-22,SPX Index,PX_LAST,2434.5
501,2017-06-23,SPX Index,PX_LAST,2438.3
502,2017-06-26,SPX Index,PX_LAST,2439.07
503,2017-06-27,SPX Index,PX_LAST,2419.38
